user_id,month,plan,is_active,monthly_recurring_revenue
U0001,2023-05-01,Basic,1,5.99
U0001,2023-06-01,Standard,1,8.99
U0001,2023-07-01,Standard,1,8.99
U0001,2023-08-01,Standard,1,8.99
U0001,2023-09-01,Standard,1,8.99
U0001,2023-10-01,Standard,1,8.99
U0001,2023-11-01,Standard,1,8.99
U0001,2023-12-01,Standard,1,8.99
U0001,2024-01-01,Standard,1,8.99
U0001,2024-02-01,Standard,1,8.99
U0001,2024-03-01,Standard,1,8.99
U0001,2024-04-01,Standard,1,8.99
U0001,2024-05-01,Standard,1,8.99
U0001,2024-06-01,Standard,1,8.99
U0002,2023-07-01,Standard,1,8.99
U0002,2023-08-01,Standard,1,8.99
U0002,2023-09-01,Standard,1,8.99
U0002,2023-10-01,Standard,1,8.99
U0002,2023-11-01,Premium,1,12.99
U0002,2023-12-01,Premium,1,12.99
U0002,2024-01-01,Premium,1,12.99
U0002,2024-02-01,Premium,1,12.99
U0002,2024-03-01,Premium,1,12.99
U0002,2024-04-01,Premium,1,12.99
U0002,2024-05-01,Premium,1,12.99
U0002,2024-06-01,Premium,1,12.99
U0003,2023-05-01,Standard,1,8.99
U0003,2023-06-01,Standard,1,8.99
U0003,2023-07-01,Standard,1,8.99
U0003,2023-08-01,Standard,1,8.99
U0003,2023-09-01,Premium,1,12.99
U0003,2023-10-01,Premium,1,12.99
U0003,2023-11-01,Premium,1,12.99
U0003,2023-12-01,Premium,1,12.99
U0003,2024-01-01,Premium,1,12.99
U0003,2024-02-01,Premium,1,12.99
U0003,2024-03-01,Premium,1,12.99
U0003,2024-04-01,Premium,1,12.99
U0003,2024-05-01,Premium,1,12.99
U0003,2024-06-01,Premium,0,0.0
U0004,2023-02-01,Basic,1,5.99
U0004,2023-03-01,Basic,1,5.99
U0004,2023-04-01,Basic,1,5.99
U0004,2023-05-01,Basic,1,5.99
U0004,2023-06-01,Basic,1,5.99
U0004,2023-07-01,Basic,1,5.99
U0004,2023-08-01,Basic,1,5.99
U0004,2023-09-01,Basic,1,5.99
U0004,2023-10-01,Basic,1,5.99
U0004,2023-11-01,Basic,1,5.99
U0004,2023-12-01,Basic,1,5.99
U0004,2024-01-01,Basic,1,5.99
U0004,2024-02-01,Basic,1,5.99
U0004,2024-03-01,Basic,1,5.99
U0004,2024-04-01,Basic,1,5.99
U0004,2024-05-01,Basic,1,5.99
U0004,2024-06-01,Basic,1,5.99
U0005,2023-05-01,Standard,1,8.99
U0005,2023-06-01,Standard,1,8.99
U0005,2023-07-01,Standard,1,8.99
U0005,2023-08-01,Standard,1,8.99
U0005,2023-09-01,Standard,1,8.99
U0005,2023-10-01,Standard,1,8.99
U0005,2023-11-01,Standard,1,8.99
U0005,2023-12-01,Standard,1,8.99
U0005,2024-01-01,Standard,1,8.99
U0005,2024-02-01,Standard,1,8.99
U0005,2024-03-01,Standard,1,8.99
U0005,2024-04-01,Standard,1,8.99
U0005,2024-05-01,Standard,1,8.99
U0005,2024-06-01,Standard,1,8.99
U0006,2023-04-01,Standard,1,8.99
U0006,2023-05-01,Standard,1,8.99
U0006,2023-06-01,Standard,1,8.99
U0006,2023-07-01,Standard,1,8.99
U0006,2023-08-01,Standard,1,8.99
U0006,2023-09-01,Standard,1,8.99
U0006,2023-10-01,Standard,0,0.0
U0006,2023-11-01,Standard,0,0.0
U0006,2023-12-01,Standard,0,0.0
U0006,2024-01-01,Standard,0,0.0
U0006,2024-02-01,Standard,0,0.0
U0006,2024-03-01,Standard,0,0.0
U0006,2024-04-01,Standard,0,0.0
U0006,2024-05-01,Standard,0,0.0
U0006,2024-06-01,Standard,0,0.0
U0007,2023-02-01,Standard,1,8.99
U0007,2023-03-01,Standard,1,8.99
U0007,2023-04-01,Standard,1,8.99
U0007,2023-05-01,Premium,1,12.99
U0007,2023-06-01,Premium,1,12.99
U0007,2023-07-01,Premium,0,0.0
U0007,2023-08-01,Premium,0,0.0
U0007,2023-09-01,Premium,0,0.0
U0007,2023-10-01,Premium,0,0.0
U0007,2023-11-01,Premium,0,0.0
U0007,2023-12-01,Premium,0,0.0
U0007,2024-01-01,Premium,0,0.0
U0007,2024-02-01,Premium,0,0.0
U0007,2024-03-01,Premium,0,0.0
U0007,2024-04-01,Premium,0,0.0
U0007,2024-05-01,Premium,0,0.0
U0007,2024-06-01,Premium,0,0.0
U0008,2023-05-01,Premium,1,12.99
U0008,2023-06-01,Premium,1,12.99
U0008,2023-07-01,Premium,0,0.0
U0008,2023-08-01,Premium,0,0.0
U0008,2023-09-01,Premium,0,0.0
U0008,2023-10-01,Premium,0,0.0
U0008,2023-11-01,Premium,0,0.0
U0008,2023-12-01,Premium,0,0.0
U0008,2024-01-01,Premium,0,0.0
U0008,2024-02-01,Premium,0,0.0
U0008,2024-03-01,Premium,0,0.0
U0008,2024-04-01,Premium,0,0.0
U0008,2024-05-01,Premium,0,0.0
